time_from,time_to,region_from,region_to,Nnet_true
630,640,6,6,13
630,640,7,7,21
630,640,8,8,6
630,640,9,6,1
630,640,9,9,11
630,640,10,7,1
630,640,10,10,12
640,650,1,1,16
640,650,2,2,21
640,650,3,3,36
640,650,4,2,1
640,650,4,4,11
640,650,5,5,12
640,650,6,6,14
640,650,7,5,1
640,650,7,6,1
640,650,7,7,21
640,650,8,8,5
640,650,8,9,1
640,650,9,9,11
640,650,10,10,12
650,660,1,1,16
650,660,2,2,22
650,660,3,2,1
650,660,3,3,35
650,660,4,4,11
650,660,5,4,2
650,660,5,5,10
650,660,5,7,1
650,660,6,6,15
650,660,7,7,21
650,660,8,8,5
650,660,9,7,1
650,660,9,9,11
650,660,10,10,12
660,670,1,1,16
660,670,2,2,23
660,670,3,3,35
660,670,4,4,13
660,670,5,2,1
660,670,5,4,1
660,670,5,5,8
660,670,6,6,15
660,670,7,5,1
660,670,7,7,22
660,670,8,8,5
660,670,9,9,11
660,670,10,10,12
670,680,1,1,16
670,680,2,2,24
670,680,3,3,35
670,680,4,4,14
670,680,5,5,8
670,680,5,7,1
670,680,6,6,15
670,680,7,7,22
670,680,8,8,5
670,680,9,9,11
670,680,10,10,12
680,690,1,1,15
680,690,1,4,1
680,690,2,1,1
680,690,2,2,23
680,690,3,3,35
680,690,4,2,1
680,690,4,4,13
680,690,5,5,8
680,690,6,4,1
680,690,6,6,14
680,690,7,7,23
680,690,8,8,5
680,690,9,9,11
680,690,10,10,12
690,700,1,1,16
690,700,2,2,23
690,700,2,3,1
690,700,3,3,35
690,700,4,4,15
690,700,5,5,8
690,700,6,6,14
690,700,7,7,23
690,700,8,8,5
690,700,9,9,11
690,700,10,10,12
700,710,1,1,16
700,710,2,2,23
700,710,3,3,36
700,710,4,4,15
700,710,5,3,1
700,710,5,5,7
700,710,6,6,14
700,710,7,7,23
700,710,8,8,5
700,710,9,9,11
700,710,10,10,12
710,720,1,1,16
710,720,2,1,1
710,720,2,2,21
710,720,2,4,1
710,720,3,3,37
710,720,4,2,1
710,720,4,4,14
710,720,5,3,1
710,720,5,5,6
710,720,6,4,1
710,720,6,6,13
710,720,7,7,23
710,720,8,8,5
710,720,9,9,11
710,720,10,10,12
720,730,1,1,17
720,730,2,2,22
720,730,3,2,3
720,730,3,3,35
720,730,4,4,16
720,730,5,3,1
720,730,5,5,5
720,730,6,6,13
720,730,7,7,23
720,730,8,8,5
720,730,9,9,11
720,730,10,10,12
730,740,1,1,17
730,740,2,2,24
730,740,2,4,1
730,740,3,2,1
730,740,3,3,35
730,740,4,4,16
730,740,5,5,5
730,740,6,6,13
730,740,7,7,23
730,740,8,8,5
730,740,9,9,11
730,740,10,10,12
740,750,1,1,17
740,750,2,2,25
740,750,3,3,35
740,750,4,1,1
740,750,4,4,16
740,750,5,5,5
740,750,6,6,13
740,750,7,7,23
740,750,8,8,5
740,750,9,9,11
740,750,10,9,1
740,750,10,10,11
750,760,1,1,18
750,760,2,2,24
750,760,2,5,1
750,760,3,3,35
750,760,4,4,16
750,760,5,5,5
750,760,6,6,13
750,760,7,7,23
750,760,8,8,5
750,760,9,9,12
750,760,10,10,11
760,770,1,1,17
760,770,1,2,1
760,770,2,2,24
760,770,3,3,35
760,770,4,4,15
760,770,4,5,1
760,770,5,5,6
760,770,6,6,13
760,770,7,7,23
760,770,8,8,5
760,770,9,9,12
760,770,10,10,11
770,780,1,1,17
770,780,2,2,24
770,780,2,3,1
770,780,3,3,35
770,780,4,4,15
770,780,5,2,1
770,780,5,5,6
770,780,6,6,13
770,780,7,7,23
770,780,8,8,5
770,780,9,9,12
770,780,10,7,2
770,780,10,10,9
780,790,1,1,16
780,790,1,2,1
780,790,2,2,24
780,790,2,5,1
780,790,3,3,35
780,790,3,5,1
780,790,4,4,15
780,790,5,5,6
780,790,6,6,13
780,790,7,7,25
780,790,8,8,5
780,790,9,9,12
780,790,10,10,9
790,800,1,1,16
790,800,2,1,1
790,800,2,2,24
790,800,3,3,35
790,800,4,4,15
790,800,5,5,8
